,ruleid,rule,upi,fresp,code,,notes,Codes:
1,1,There is a red,vcbkdskksk,they have to be with all three different colors,o,,"Lots of rules about orientation and stacking, more so than adults who liked colour",c- completely correct 
2,1,There is a red,mesbxrjdpg,there has to be any amount of red and green,o,,,"o - ""overfit"" correct + extra"
3,1,There is a red,zwrcdrrtwi,there has to be at least one red and one color of each,o,,,"u- ""underfit"" partial"
4,1,There is a red,hibacpjdfh,there cannot be only one of them there has to be three and they do not have to be all the same color,d,,,d - different rule
5,1,There is a red,ovngoiiqro,you have to have red in them,c,,,n - no rule
6,1,There is a red,jafwjckfvc,there has to be at least one red block,c,,,m - multiple rules
7,1,There is a red,blrcjyghdb,you have to have two of one color and one of the other color and one of them has to be stacked on top of each other and the one that is stacked on top of it has to be a different color,d,,,v - vague (ambiguously specified rule)
8,1,There is a red,cgilusiyxy,they cannot have two bottoms touching,d,,,
9,1,There is a red,wdrpuuyzji,it has to have a smaller shape on top of it in a different color,d,,,
10,1,There is a red,yjheaxptzh,there has to be at least one red block,c,,,
11,1,There is a red,sgygmhiwae,must be one of them on top of the other one and one slanted,d,,,
12,1,There is a red,lwtvybinkx,one kova has to be on top of another they cannot be the same color,d,,,
13,1,There is a red,hqdzvryszc,there has to be red,c,,,
14,1,There is a red,arybnplgmd,there has to be one on top of another and the other one has to be on the side somewhere,d,,,
15,1,There is a red,veyjvlxish,they have to be on top of each other,d,,,
16,1,There is a red,zmtqpimofq,it has to be one stacked on each other with an extra one not stacked on,d,,,
17,1,There is a red,fyyogkywea,there needs to be at least one red block,c,,,
18,1,There is a red,mkzkmzxgrf,you need the red blocks,c,,,
19,1,There is a red,reowfvdqqu,one red has to at least be in the picture,c,,,
20,1,There is a red,ywlzebnwkb,do not know,n,,,
21,1,There is a red,cmmvtaucbc,you have to have at least two colors on it and you need to stack a big one on top of the little one and they are both different colors and you need to have another color facing left of the tip on the floor,d,,,
22,1,There is a red,rxnythfslb,you have to stack them,d,,,
23,1,There is a red,dhpdbgcmjp,one is on top of the other,d,,,
24,1,There is a red,umjngnkkko,at least two has to be facing up or one or two can be facing down,d,,,
25,1,There is a red,shvmpeoloq,there has to be at least one red piece and one green piece,o,,,
26,1,There is a red,qosdofjwwl,there has to be three pieces ,d,,,
27,1,There is a red,djldhhbvei,there needs to be a red one in all of them they have to have one of them touching another one,o,,,
28,1,There is a red,wtoxeowgar,there has to be some that are lying down there also has to be at least one that is standing up,d,,,
29,1,There is a red,mqxmdwvlai,there has to be at least one red,c,,,
30,1,There is a red,jgruymmhtv,you have to use at least three of the blocks,d,,,
31,1,There is a red,alyxzksgke,there has to be two are different colors and one that is the same color as the one on the bottom and the one that is not stacked is the smallest one,d,,,
32,1,There is a red,guldlbnobg,a certain number of how many colors there are,o,or v?,,
33,1,There is a red,kgelyqjiet,all of them have to be slanted,d,,,
34,1,There is a red,hxdomhiend,each shape contains a certain amount,v,,,
